Barcodepart,student_answer_1,student_answer_2,raw_score,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,score100
8591300-33455,สื่อออนไลน์หรือสื่อสังคมออนไลน์ เป็นช่องทางที่ใช้กระจายข้อมูลข่าวสารที่เข้าถึงง่ายไปอย่างทั่วทุกมุมโลกที่สัญญาณสามารถเข้าถึงได้ แต่ถ้าหากใช้สื่อสังคมออนไลน์อย่างไม่ระมัดระวังหรือขาดความรับผิดชอบเช่นการขาย-สิ่งของผิดกฎหมาย หรือสิ่งที่ผิดศีลธรรม เป็นโทษแก่สังคมทั้งสิ้น และมีอยู่ที่ได้รับผลกระทบจากพฤติกรรมนี้มากมาย ดังนั้น เราควรแก้ปัญหาด้วยการเร่งสร้างภูมิคุ้มกันรู้ทันสื่อโดยเร็วและถึงแม้จะมีการเตือนภัยแต่ยังมีหลายคนที่ยังไม่มั่นใจจากพฤติกรรมของคนบางกลุ่ม ดังนั้นการใช้สื่อโดยเจตนาแอบแฝงจึงมีผลต่อความน่าเชื่อถือของข่าวสาร,เห็นด้วย เพราะสื่อสังคมออนไลน์ให้ความสะดวกสบายหลายอย่าง เพื่อให้ชีวิตประจำวันมีความสะดวกมากขึ้น เช่น ในการเรียนพอมีเหตุฉุกเฉินหรือในเหตุการณ์ปัจจุบันนี้จำนวนฝุ่น PM 2.5 กำลังเพิ่มขึ้น ทำให้เสี่ยงของอันตรายที่เกิดขึ้นในร่างกายทำให้โรงเรียนต้องหยุดเรียน แต่สื่อสังคมออนไลน์ทำให้เราสามารถเรียนต่อได้ที่บ้าน คือการเรียนในระบบ On-line ดังนั้นสื่อสังคมออนไลน์จึงเป็นประโยชน์อย่างมากเพราะถ้าเราไม่มีสื่อสังคมออนไลน์เราก็จะไม่สามารถเรียนได้ทำให้รับเนื้อหาเตรียมสอบ-ไม่ทัน ทั้งนี้ ยังมีอีกหลายเหตุผลที่สื่อสังคมออนไลน์มีความจำเป็นต่อชีวิตประจำวัน,27,4,1.5,0,0.75,0.75,1,1,8,3,2,1.5,1.5,2,90
85913003-8288,สื่อสังคมหรือสื่อสังคมออนไลน์เป็นช่องทางที่แพร่กระจายข้อมูลทุกรูปแบบต่างๆไปยังผู้คนที่อยู่ทั่วทุกมุมโลกที่สัญญาณโทรศัพท์เข้าถึงเช่นการนำเสนอข้อดีของสินค้าชั้นนำ ให้เข้าถึงผู้ซื้อได้ทั่วโลก เราสามารถใช้สื่อสังคมออนไลน์ค้นหาและรับข้อมูลข่าสาวที่เป็นประโยชน์ได้อย่างดี หากใช้สื่อสังคมออนไลน์อย่างไม่ระวัง เช่นการแสดงความคิดเห็นวิพากษ์วิจารณ์ผู้อื่นในทางเสียหาย เนื้อหาที่ล่อแหลมหรือชักจูงผู้รับสารไปในทางที่ไม่เหมาะสมอาจเป็นโทษแก้สังคม ผู้คมนิยมใช้สื่อสังคมออนไลน์เป็นช่องทางการตลาดเพราะสามารถเข้าถึงได้ทุกเพศทุกวัยกลุ่มต่างๆจึงใช้สื่อสังคมออนไลน์ชวนเชื่อทุกรูปแบบจนตกเป็นเหยื่อการใช้สื่อสังคมออนไลน์จึงอาจมีผลกระทบ ,"ไม่เห็นด้วย เพราะหากใช้สื่อสังคมออนไลน์อย่างไม่ระมัดระวังหรือ
ขาดความรับผิดชอบไม่ว่าการเขียนวิพากษ์วิจารณ์การนำเสนอที่มีเนื้อหาล่อแหลมหรือชักจูงในทางไม่เหมาะสมหรือใช้เป็นช่องทางกระทำผิดกฎหมายทั้งการพนันการขายของผิดกฎหมายการใช้สื่อสังคมออนไลน์จึงเป็นโทษแก้สังคม แต่หลายครั้งในสังคมก็อาจรู้สึกไม่มั่นใจ เมื่อพบว่าถูกหลอกลวงจากกลุ่มที่ใช้สื่อสังคมออนไลน์ เป็นพื้นที่แสวงหาประโยชน์ จนทำให้เกิดการเข้าใจผิดสร้างความเสียหาย ดังนั้นการใช้สื่อสังคมออนไลน์ด้วยเจตนาแอบแฝงจึงมีผลกระทบ ",5.25,2,1,0,0.5,0.5,0.25,1,0,0,0,0,0,0,17.5
85913003-8279,สื่อสังคมออนไลน์ เป็นสื่อหรือช่องทางที่แพร่กระจายข้อมูลข่าวสารในรูปแบบต่างๆ ได้อย่างรวดเร็ว เช่น การนำเสนอข้อดีนานาประการของสินค้าชั้นนำ เราสามารถใช้สื่อสังคมออนไลน์ค้นหาและรับข้อมูลข่าวสารที่มีประโยชน์ได้เป็นอย่างดี หากใช้สื่อสังคมออนไลน์อย่างไม่ระมัดระวัง ก็อาจจะทำให้เกิดผลเสียต่อตัวเราและผู้อื่นได้ ปัจจุบันผู้คนจำนวนไม่น้อยนิยมใช้สื่อสังออนไลน์ เป็นช่องทางในการทำการตลาดทั้งในทางธุรกิจ สังคมและการเมือง ดังนั้นการใช้สื่อสังคมออนไลน์ด้วยเจตนาแอบแฝงจึงมีผลการะทบต่อความน่าเชื่อถือของข้อมูลข่าวสารโดยตรง ,"เห็นด้วย เพราะในยุคปัจจุบัน สื่อสังคมออนไลน์ มีประโยชน์ต่อการดําเนินชีวิต
ประจําวันเป็นอย่างมาก ช่วยให้เรารับรู้ข่าวสารต่างๆ จากทั่วทุกมุมโลกได้ เช่น หากเกิดภัยพิบัติ เราก็สามารถรับข่าวสารได้ และเตรียมตัวได้ถูกวิธี ตัวอย่างการใช้สื่อสังคมออนไลน์ ในชีวิตประจําวันของผม คือ ผมสามารถ ใช้ในการเรียนและศึกษาข้อมูลต่าง ๆ ได้ แถมยังสามารถสร้างความสนุกสนานให้กับผู้ใช้ได้ ถ้าพวกเรา ใช้สังคมออนไลน์อย่างระวัดระวัง ก็จะเป็นผลดีต่อตัวเราและผู้อื่น ",24.75,2,2,0,0.75,1,1,1,7,3,2,1.5,1.5,2,82.5
85913003-8275,"เป็นช่องทางที่แพร่กระจายข้อมูลข่าวสารในรูปแบบต่างๆได้อย่างรวดเร็ว
ทั่วทุกมุมที่มีประโยชน์ได้เป็นอย่างดี หากสื่อสังคมออนไลน์อย่างไม่ระมัดระวัง ไม่ว่าจะเป็นการเขียนแสดงความเห็นวิพากษ์วิจารณ์ผู้อื่นในทางเสียหาย มีเนื้อหาล่อแหลมหรือชักจูงผู้รับสารไปในทางไม่เหมาะสม การสร้างกลุ่มขัดต่อศีลธรรมอันดีของสังคม กระทำผิดกฎหมายทั้งการพนันการขายของผิดกฎหมาย ปัจจุบันผู้จำนวนมาไม่น้อยนิยมใช้สื่อสังคมออนไลน์เป็นช่องทางในการทำการตลาดทั้งในทางธุรกิจ สังคมและการเมืองจนได้ผลดีแบบกระโดด ",เห็นด้วยกับเรื่องการใช้สื่อสังคมออนไลน์ เพราะทำให้เราเรียนรู้การค้นหาสิ่งที่เราอยากจะทำ รู้จักการสร้างสรรค์ สามารถทำคริปหารายได้ ,4,0,0,0,0,0,0,1,3,0,0,0,0,0,13.33
85913003-2744,"สื่อออนไลน์หรือสื่อสังคมออนไลน์นั้นเป็นสื่อช่องทางแพร่กระจายข้อมูลข่าวสารได้อย่างรวดเร็วไปยังคนที่อยู่ทั่ว
ทุกมุมโลกที่สัญญาณโทรศัพท์เข้าถึงนั้นๆได้การนําเสนอข้อเท็จจริงของข่าวสารอย่างตรงไปตรงมาและเรายังสามารถใช้สื่อ
สังคมออนไลน์ค้นหาและรับข้อมูลข่าวสารที่มีประโยชน์ได้เป็นอย่างดีแต่อย่างไรก็ตามหากใช้สื่อสังคมออนไลน์ไม่ระมัด
ระวังหรือขาดความรับความผิดชอบต่อสังคมส่วนรวมไม่ว่าจะเป็นการเขียนแสดงความคิดเห็นวิพากษ์วิจารณ์ผู้อื่นในทางเสียหายหรือไม่เหมาะสม","ปัจจุยผู้คนจํานวนไม่น้อยนิยมใช้สื่อสังคมออนไลน์เป็นช่องทางในการทําการตลอดทั้งในทางธุรกิจ สังคม และการเมือง
จนได้ผลดีแบบก้าวกระโดด ทั้งนี้เพราะสามารถเข้าถึงกลุ่มคนทุกเพศ ทุกวัย และทุกสาขาอาชีพโดยไม่มีข้อจํากัดเรื่อง
เวลาสถานที่ กลุ่มต่าง ๆ จึงหันมาใช้สื่อสังคมออนไลน์เพื่อสร้างกระแสให้เกิดความนิยมชมชอบในกิจการของตนเอง
ด้วยการโฆษณาชวนเชื่อทุกรูปแบบจนลูกค้าเกิดความหลงใหลข้อมูลข่าวสารจนตกเป็นเหยื่ออย่างไม่รู้ตัวเลยเราจึงแก้
ปัญหาการตกเป็นเหยื่อทางการตลาดของกลุ่มมิจฉาชีพด้วยการเร่งสร้างภูมิคุ้มกันรู้ทันสื่อไม่ตกเป็นเหยื่อการตลาดโดยเร็ว!",4.5,1,1.5,0.5,0,1,0.5,0,0,0,0,0,0,0,15
85913003-2595,"สื่อสังคมออนไลน์นั้นเป็นสื่อหรือช่องทางที่เพร่กระจายข้อมูลข่าวสารในรูปแบบต่างๆได้อย่างรวดเร็วไปยังผู้คนที่อยู่ทั่วทุกมุมโลกที่สัญญาณโทรศัพท์เข้าถึงเช่นนำเสนอข้อเท็จจริงของข่าวสารอย่างตรงไปตรงมาหากใช้สื่อสังคม
ออนไลน์อย่างไม่ระมัดระวังหรือขาดความรับผิดชอบต่อสังคมทำผิดกฏหมายทั้งการพนันการขายของผิดกฎหมายจึงเป็นการใช้ที่เป็นโทษแก่สังคมปัจจุบันผู้คนจำนวนไม่น้อยนิยมใช้สื่อออนไลน์เป็นช่องทางในการทําการตลาดทั้งในทางธุรกิจไม่ว่าจะมีการใช้ออนไลน์
ทางสร้างสรรค์สิ่งที่ดีให้แก่สังคมการเตือนภัยให้แก่คนในสังคมได้อย่างรวดเร็วส่งข้อมูลข่าวสารเพื่อระดมความช่วยเหลือให้แก่ผู้ที่กำลังเดือดร้อน","เห็นด้วยกับข้อความที่กำหนดให้ เพราะ ปัจจุบันผู้คนจำนวนไม่น้อยนิยมใช้สื่อสังคมออนไลน์
เป็นช่องทางในการทำการตลาดทั้งในทางธุรกิจสังคมและการเมืองจนได้ผลดีแบบก้าวกระโดด
เพราะสามารถเข้าถึงกลุ่มคนทุกเพศทุกวัยและทุกสาขาอาชีพโดยไม่มีข้อจำกัดเรื่องเวลาและ
สถานที่กลุ่มต่างๆถ้าเกิดความนิยมชมชอบในกิจการของเราทางโฆษณาชวนเชื่อทุกรูปแบบจน
เกิดความหลงใหลข้อมูลข่าวสารจนตนเป็นเหยื่ออย่างไม่รู้ตัวเราจึงควรแก้ปัญหาการตกเป็นเหยื่อทางการ
ตลาดของกลุ่มมิจฉาชีพด้วยการเร่งสร้างภูมิคุ้มกันรู้ทันสื่อไม่ตกเป็นเหยื่อทางการตลาดโดยเร็ว",4.5,2,1,0,0,0,0.5,1,0,0,0,0,0,0,15
85913000-0928,"การใช้สื่อสังคมออนไลน์หรือที่ทุกคนเรียกว่าสื่อออนไลน์และสื่อสังคมออนไลน์เป็นสื่อหรือ ช่องทางอื่นๆที่เอาไว้แพร่กระจายข้อมูลข่าวสารได้อย่างรวดเร็วไปยังผู้คนที่อยู่ทั่วทุกมุมของโลก
ที่สัญญาณสามารถเข้าถึง การเผยแพร่การเขียนงานคุณภาพบนโลกออนไลน์แทนการเข้าสํานักพิมพ์ 
เราทุกคนสามารถใช้การสื่อสารทางสังคมออนไลน์ค้นหาข้อมูลหรือข่าวสารที่มีประโยชน์ต่อตัวเราเองได้
หากใช้การสื่อสังคมออนไลน์อย่างไม่ระมัดระวัง ไม่ว่าจะขาดความรับผิดชอบทางสังคมบนโลกออนไลน์",ฉันเห็นเพื่อนลื่นล้มเพราะไม่ใส่ถุงเท้าไม่เห็นด้วย เพราะ เพื่อนไม่ใส่ถุงเท้าอาจจะทําให้ลื้นล้มหัวแตกได้หรืออาจจะเป็นมากกว่านั้นและยังทําให้เพื่อนเจ็บตัวอีกด้วยและยังได้แผลตามตัวอีกเพราะฉะนั้นควรแนะนําให้เพื่อนใส่ถุงเท้ากันไว้ดีกว่าเพราะถ้าลื่นล้มตรงบันไดอาจจะหัวทิ่มพื้นหรือหัวแตกปากแตกและอื่นๆอีกมากมาย ถ้าตรงนั้นมีน้ำหก หรือเพื่อนขัดบันไดอยู่ควรใส่ถุงเท้าและอย่าวิ่งเด็ดขาดไม่งั้นจะหัวฟาดพื้นหรือหน้าคว่ำ,4.75,1,1,0.5,0.75,0.75,0.75,0,0,0,0,0,0,0,15.83
85913000-0664,"สื่อสังคมออนไลน์ คือช่องทางการเผยแพร่ข่าวสารได้เร็วถึงผู้คนทั่วโลกผ่านมือถือการนำเสนอความจริง
ของข่าวสารเป็นต้น หากใช้อย่างไม่ระมัดระวังอย่างการวิพากษ์วิจารณ์ให้ผู้อื่นเสียหาย หรือสร้างกลุ่มที่ขัดศีลธรรม
ให้เป็นช่องทางในการทำผิดกฎหมายเป็นต้น ปัจจุบันผู้คนจำนวนมากใช้สื่อทำตลาดธุรกิจจนได้ผลดี เพระเข้าถึงคนทุกเพศ
ทุกวัยได้และทุกสาขาอาชีพโดยไม่จำกัดเวลาและสถานที่ด้วยการโฆษณาชวนเชื่อจนลูกค้าหลงไหลจนตกเป็นเหยื่อ
แม้ว่ามีการใช้สื่อในทางที่ดีแต่หลายครั้ง คนอาจไม่มั่นใจเพราะถูกหลอกจากคนที่ใช้สื่อแสวงผลประโยชน์ ทำให้ความเข้าใจผิด","เห็นด้วย เพราะการใช้สื่อควรใช้ระมัดระวังเพื่อไม่ให้ตกเป็นเหยื่อของคนที่
ประสงค์ร้าย ยกตัวอย่าง เคยเปิดเฟซบุ๊คเพือไลฟ์สดสั่งของแต่ได้ของไม่ตรงปก",4.5,1,1.5,0,0,0.5,0.5,1,0,0,0,0,0,0,15
85913003-3238,สื่อสังคม เป็นสื่อหรือช่องทางที่แพร่กระจายข้อมูลข่าวสารในรูปแบบต่างๆได้อย่างรวดเร็วไปยังผู้คนที่อยู่ทั่วมุมโลกที่สัญญาณโทรศัพท์เข้า หากใช้สื่อสังคมออนไลน์อย่างไม่ระมัดระวังหรือขาดความรับผิดชอบต่อสังคมส่วนรวม การใช้สื่อในลักษณะดังกล่าวเป็นการใช้ที่เป็นโทษแก่สังคม เราควรแก้ปัญหาการตกเป็นเหยื่อทางการตลาดของกลุ่มมิจฉาชีพด้วยการเร่งสร้างภูมิคุ้มกันรู้ทันสื่อ หากใช้สื่อสังคมเรื่องเจตนาแอบแฝงจะมีผลกระทบต่อความน่าเชื่อถือของข้อมูลโดยตรง,           ข้าพเจ้ามีความเห็นที่เห็นด้วยกับข้อความข้างต้น เพราะอิทธิพลของสื่อสังคมในยุคปัจจุบันนี้มากขึ้น ซึ่งมีทั้งผลดีและผลเสีย หากไม่ระมัดระวังจะเกิดอันตรายต่อตนเอง ผลดีของสื่อสังคมคือการมอบความบันเทิงให้กับผู้ใช้ มีส่วนช่วยในการติดต่อสื่อสารระยะไกลได้อย่างสะดวกสบาย ผลเสียของสื่อสังคม มีผลต่อการใช้ชีวิตประจำวัน อาจทำให้การบริหารจัดการเวลาในการดำเนินชีวิตมีประสิทธิภาพน้อยลง และในปัจจุบัน มิจฉาชีพได้อาศัยช่องว่างของสื่อสังคมเพื่อนำข้อมูลไปใช้ในทางที่ผิด ตัวอย่างเช่น การหลอกให้ผู้ใช้กรอกข้อมูลเพื่อรับรางวัลเงินสด ซึ่งเป็นการหลอกเพื่อเอาข้อมูลส่วนตัวที่สำคัญของผู้ใช้โดยไม่ได้มอบเงินรางวัลตามที่ได้กล่าวไว้ ดังนั้นเราจึงควรระมัดระวังในการใช้สื่อสังคม ควรใช้อย่างเหมาะสมและไม่ใช้เพื่อหลอกลวงหรือกลั่นแกล้งผู้อื่น,26.25,4,2,0.5,1,1,1,1,5,3,2,2,1.75,2,87.5
86913004-0215,"ปัจจุบันผู้คนจำนวนไม่น้อยนิยมใช้สื่อสารออนไลน์เป็นช่างทาง 
ในการทำการตลาดทั้งในทางธุรกิจ สังคม และการเมืองจนได้ผลดีแบบก้าวกระโดดทั้งนี้เพราะสามารถเข้าถึงกลุ่มคนทุกเพศ ทุกวัยและทุกสาขาอาชีพโดยไม่มีข้อจำกัดเรื่องเวลาและสถานที่กลุ่มต่างๆ ดังนั้นจึงหันมาใช้สื่อสารสังคมออนไลน์เพื่อสร้างกระแสให้เกิดความนิยมชอบ",จำเป็นเพราะว่าปัจจุบันสื่อสังคมออนไลน์ผู้คนจำนวนไม่น้อยมากนิยมใช้ในการสื่อสังคมออนไลน์มีความจำเป็นในชีวิตทั้งในทางธุรกิจสังคมไม่เสียหายและการเมืองจนได้ผลดีแบบเจริญรุ่งเรืองจึงหันมาใช้การสื่อสังคมออนไลน์มีความจำเป็นในชีวิตประวัน มีสำนึกต่อส่วนรวมร่วมสร้างสังคมสามารถใช้สื่อสังคมออนไลน์ค้นหาและรับข้อมูลข่าวสารที่มีประโยชน์ได้เป็นอย่างดีไม่ว่าจะเป็นการเขียนแสดงความคิดเห็นวิพากษ์วิจารณ์ผู้อื่นในทางเสียหาย,5.25,0,0,0,0,0,0,0,2,0,2,1,0,0.25,17.5
