personal pronoun 1,personal pronoun 2,
ฉัน,คุณ,
ผม,เธอ,
ดิฉัน,เขา,
เรา,ท่าน,
กระผม,พวกคุณ,
ข้าพเจ้า,คุณลุง,
ตัวข้าพเจ้า,คุณป้า,
ข้า,พี่,
กระผม,น้อง,
เกล้าฯ,ท่านผู้หญิง,
ข้าพเจ้าเอง,ท่านผู้ชาย,
ข้าเอง,หมอ,
ดิฉันเอง,ครู,
ฉันเอง,นายนั้น,
ชั้น,นางนั้น,
ข้าเจ้าค่ะ ,เจ้าของ,
ข้าพเจ้าเจ้าค่ะ,พ่อ,
ตัวข้าเอง,แม่,
ข้าเจ้าพี่,นาย,
ชั้นเอง,นาง,
พวกเรา,ผู้ชาย,
ข้าพเจ้าเองครับ,ผู้หญิง,
ข้าพเจ้าเจ้าค่ะ,คูณ,
ข้าเจ้าเอง,อาจารย์,
ตัวเรา,แฟน,
เกล้าฯ เอง,ภรรยา,
เราเอง,สามี,
ฉันค่ะ,เพื่อน,
ผมครับ,คู่รัก,
ดิฉันครับ,เจ้านาย,
ตัวเราเอง,ลูกค้า,
ข้าพเจ้าค่ะ,นักเรียน,
ข้าพเจ้าคุณ,นักศึกษา,
ข้าเจ้าค่ะเอง,ผู้ร่วมงาน,
ข้าพเจ้าตัวเอง,ผู้รับผิดชอบ,
เราเองค่ะ,พนักงาน,
ฉันเองครับ,เพื่อนร่วมงาน,
ผมเองครับ,ทีมงาน,
เราค่ะ,สหาย,
ข้าพเจ้าเองค่ะ,ผู้หญิงคนนั้น,
ผมเองค่ะ,ผู้ชายคนนั้น,
ข้าเจ้าเจ้าค่ะ,เจ้าหน้าที่,
ข้าพเจ้าเจ้าค่ะ,แขก,
ข้าพเจ้าเราค่ะ,ลูกน้อง,
ชั้นพี่,ผู้เดินทาง,
ข้าเจ้าพี่เอง,ลูกหลาน,
ตัวเองเอง,ผู้ใช้บริการ,
ข้าพเจ้าเองค่ะ,ผู้ช่วย,
เราค่ะ,ลูกค้า,
เราเองครับ,ท่านผู้ใหญ่,
หนู,คุณท่าน,
กระผม,คุณชาย,
ดิฉัน,คุณหญิง,
,นายท่าน,
,นางท่าน,
,ผู้บริหาร,
,คู่กรณี,
,ผู้ให้ข้อมูล,
,คนที่คุณ,
,คนนี้,
,ท่านผู้นี้,
,พี่สาว,
,พี่ชาย,
,คุณแม่,
,คุณพ่อ,
,ญาติ,
,พี่น้อง,
,พี่เลี้ยง,
,เพื่อนรัก,
,น้องสาว,
,น้องชาย,
,น้องท่าน,
,คุณตา,
,คุณยาย,
,พ่อแม่,
,ผู้จัดการ,
,นักกีฬา,
,คู่หู,
,ชาวบ้าน,
,แขกผู้มีเกียรติ,
,คนที่มาด้วย,
,คนร่วมงาน,
,ผู้ประสานงาน,
,นักธุรกิจ,
,นักเดินทาง,
,สมาชิก,
,ลูกพี่ลูกน้อง,
,ผู้จัดทำ,
,เพื่อนบ้าน,
,ผู้บังคับบัญชา,
,พนักงานบริษัท,
,สมาชิกในทีม,
,ผู้ร่วมประสบการณ์,
,ท่านที่อยู่ในวงการ,
,คนในวงการ,
,แฟนคลับ,
,ผู้ที่เกี่ยวข้อง,
,คนในครอบครัว,
,เพื่อนร่วมทาง,
